timestamp,timestamp_sample,wrench[0],wrench[1],wrench[2],wrench[3],wrench[4],wrench[5],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14]
276039275,4547497823441354603,0.0,0.0,0.0,0.0,0.0,0.0,0.8530203,1.0190958,0.9034473,0.97379726,0.044545352,-0.05460018,0.0021571517,0.99841243,0.05590433,0.006890987,-0.05585003,0.9984085,-0.007832994,-0.030022576,-0.010536996,0.0051671728,-0.02167553,0.053012405,0.002298816
276043968,4547428266445975270,0.0,0.0,0.0,0.0,0.0,0.0,0.8552366,1.0173614,0.9063214,0.9715941,0.044545352,-0.05460018,0.0021571517,0.99841243,0.05590433,0.006890987,-0.05585003,0.9984085,-0.007832994,-0.030022576,-0.010536996,0.0051671728,-0.020715578,0.05236186,0.0058862134
276046798,4547380837122132176,0.0,0.0,0.0,0.0,0.0,0.0,0.8560579,1.0161787,0.9066697,0.97230303,0.044545352,-0.05460018,0.0021571517,0.99841243,0.05590433,0.006890987,-0.05585003,0.9984085,-0.007832994,-0.030022576,-0.010536996,0.0051671728,-0.02231984,0.054601543,0.0060420106
276050709,4547283251170218592,0.0,0.0,0.0,0.0,0.0,0.0,0.8563515,1.0137457,0.90560234,0.974316,0.044852316,-0.054520607,0.0020600557,0.99842227,0.055632472,0.007610519,-0.055574715,0.9984256,-0.0076020206,-0.027661277,-0.0076645054,0.0058132205,-0.022035135,0.054152735,0.004616629
276053416,4547227296336285448,0.0,0.0,0.0,0.0,0.0,0.0,0.8576888,1.0123507,0.9065329,0.9742246,0.044852316,-0.054520607,0.0020600557,0.99841505,0.055733353,0.0078199655,-0.055675,0.9984209,-0.0074888207,-0.027661277,-0.0076645054,0.0058132205,-0.022598285,0.055075653,0.0057629184
276056613,4547218126581095669,0.0,0.0,0.0,0.0,0.0,0.0,0.8600443,1.0121223,0.9016539,0.9728545,0.045179784,-0.0544616,0.001963377,0.99841505,0.055733353,0.0078199655,-0.055675,0.9984209,-0.0074888207,-0.023164233,-0.012710189,0.005530477,-0.023393847,0.05748064,0.005092279
276061517,4547205842974622986,0.0,0.0,0.0,0.0,0.0,0.0,0.8613816,1.0118161,0.9003265,0.9721998,0.045179784,-0.0544616,0.001963377,0.99841505,0.055733353,0.0078199655,-0.055675,0.9984209,-0.0074888207,-0.023164233,-0.012710189,0.005530477,-0.02070772,0.05939292,0.0055476325
276061714,4547201303194207626,0.0,0.0,0.0,0.0,0.0,0.0,0.8615076,1.0117028,0.89780486,0.9739649,0.045179784,-0.0544616,0.001963377,0.99841505,0.055733353,0.0078199655,-0.055675,0.9984209,-0.0074888207,-0.023164233,-0.012710189,0.005530477,-0.02117884,0.063244924,0.0035097396
276067446,4546981435228371455,0.0,0.0,0.0,0.0,0.0,0.0,0.8680005,1.0062224,0.90010667,0.9718975,0.045179784,-0.0544616,0.001963377,0.9984168,0.055601448,0.008521141,-0.055539876,0.9984299,-0.0073038405,-0.023164233,-0.012710189,0.005530477,-0.019518172,0.06815552,0.008491806
276068582,4547092185255065139,0.0,0.0,0.0,0.0,0.0,0.0,0.8651934,1.0089827,0.89966226,0.9717938,0.045179784,-0.0544616,0.001963377,0.99841183,0.055647552,0.008797027,-0.05558473,0.9984279,-0.0072297202,-0.023164233,-0.012710189,0.005530477,-0.018982803,0.06246834,0.0069186403
276074440,4546862786756839233,0.0,0.0,0.0,0.0,0.0,0.0,0.86942375,1.0032654,0.9045011,0.9740118,0.045568347,-0.05435449,0.0018497705,0.99840546,0.05568561,0.00927187,-0.05562052,0.9984267,-0.007132346,-0.025129538,-0.007702801,0.005018294,-0.019409493,0.06898691,0.01001043
276078743,4546858191141814054,0.0,0.0,0.0,0.0,0.0,0.0,0.870017,1.0031509,0.9061779,0.97203875,0.045568347,-0.05435449,0.0018497705,0.99840546,0.05568561,0.00927187,-0.05562052,0.9984267,-0.007132346,-0.025129538,-0.007702801,0.005018294,-0.01764911,0.066440225,0.012161779
276081396,4547069061151179723,0.0,0.0,0.0,0.0,0.0,0.0,0.8641045,1.0084063,0.90127575,0.97566825,0.045568347,-0.05435449,0.0018497705,0.99840546,0.05568561,0.00927187,-0.05562052,0.9984267,-0.007132346,-0.025129538,-0.007702801,0.005018294,-0.019180333,0.06362959,0.005019057
