timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
184751844,4.8647003,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
185251826,4.8645997,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
185751826,4.8617797,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
186251856,4.8687286,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
186751826,4.8859496,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
187251826,4.8525147,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
187751827,4.8436522,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
188251855,4.8473783,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
188751838,4.843753,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
189251975,4.8422422,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
189751826,4.863995,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
190251826,4.8638945,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
190751835,4.862988,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
191251827,4.8645997,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
191751826,4.8649015,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
192251826,4.871548,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
192751826,4.861075,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
193251839,4.865405,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
193752682,4.8683257,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
194251826,4.842645,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
194752307,4.8460693,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
195252180,4.847781,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
195752185,4.82774,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
196251826,4.882425,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
196751948,4.8032684,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
197252450,4.8632903,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
