timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
171089414,170881766,170891100,0,0.24672031,-0.057624124,0.60008615,0.0025000002,0.0025000002,0.0025000002,0.05457294,-0.0764767,-0.047080696,-0.0044116518,-0.0037114567,-0.04101709,0.0025093846,0.0025052598,0.0025049853,0.13186967,0.25938982,0.098318495,0.016182998,-0.027538573,-0.3639931,2,0,1
171579156,171371731,171307473,0,0.33592972,-0.21208368,0.7357357,0.0025000002,0.0025000002,0.0025000002,-0.033559263,0.075543955,-0.18437478,-0.0062868465,-0.009513348,-0.05719238,0.0025096633,0.0025052403,0.0025049432,0.04986167,0.25310898,1.5078657,0.016364718,-0.07097703,-0.40615615,2,1,0
172130835,171931731,171869952,0,0.20278367,-0.032336846,0.85251653,0.0025000002,0.0025000002,0.0025000002,0.10351312,-0.10807921,-0.3037149,-0.004978669,-0.021965478,-0.1039559,0.0025097001,0.002505326,0.0025050014,0.47438014,0.518057,4.091492,0.022970125,-0.09565514,-0.9881548,2,1,0
172620522,172421733,172421956,0,0.31823385,-0.1279177,0.5864406,0.0025000002,0.0025000002,0.0025000002,-0.017609686,-0.009556651,-0.035364985,-0.0072700614,-0.0040912773,-0.1172516,0.0025095702,0.0025051632,0.0025049082,0.013729709,0.0040507517,0.05547689,-0.022837175,-0.026697585,-1.1448642,2,0,1
173120672,172911731,172921881,0,0.39231807,-0.11568535,0.47333902,0.0025000002,0.0025000002,0.0025000002,-0.096266,-0.015760727,0.0817759,-0.011459159,-0.014784418,-0.0590701,0.0025095756,0.0025050838,0.0025048337,0.41030148,0.011020713,0.2966282,-0.04838098,-0.063671045,-0.6017711,2,0,1
173610011,173401763,173411338,0,0.3128866,-0.08377062,0.6871812,0.0025000002,0.0025000002,0.0025000002,-0.02163601,-0.047264323,-0.13134396,-0.021756083,-0.0020039608,-0.08380745,0.0025096822,0.0025050496,0.0025048016,0.02072493,0.09908672,0.7652586,-0.24576916,0.015299753,-0.8973709,2,0,1
174099867,173892170,173900935,0,0.2551663,-0.21764961,0.69968885,0.0025000002,0.0025000002,0.0025000002,0.03595373,0.0797542,-0.14835405,-0.014223382,-0.0035872331,-0.07619176,0.002509874,0.0025050614,0.0025048114,0.057226013,0.2821412,0.97628856,-0.19684716,0.018490955,-0.6945754,2,0,1
174589796,174381969,174390334,0,0.30993888,-0.13822454,0.646032,0.0025000002,0.0025000002,0.0025000002,-0.01282832,-0.0009949058,-0.09492445,-0.0073355497,-0.008941662,-0.07896644,0.0025100003,0.0025050726,0.002504806,0.0072848955,4.391422e-05,0.39970535,-0.07583262,-0.024916755,-0.65886813,2,0,1
175141962,174941944,174942346,0,0.28801423,-0.13866615,0.62907934,0.0025000002,0.0025000002,0.0025000002,0.0009743571,0.007458329,-0.0724808,-0.034153715,-0.005148474,-0.055400845,0.0025102345,0.0025049516,0.002504702,4.202227e-05,0.002467449,0.23304877,-0.19122511,-0.046524543,-0.535187,2,0,1
175641987,175431883,175369599,0,0.27664897,-0.16014358,0.7835611,0.0025000002,0.0025000002,0.0025000002,0.008657068,0.02420704,-0.23009595,-0.03771491,0.0035218773,-0.08567715,0.0025104985,0.0025049339,0.0025046868,0.003316952,0.025992297,2.34867,-0.20002092,-0.008218554,-0.75088507,2,1,0
