timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1106777073,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1107283501,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1107789094,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1108086275,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1108163338,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1108669072,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1109175073,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1109682074,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1110190410,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1110697291,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1111083210,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1111108617,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1111619143,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
